char,zhuyin
掌,ㄓㄤˇ
排,ㄆㄞˊ
採,ㄘㄞˇ
採,ㄘㄞˇ
接,ㄐㄧㄝ
控,ㄎㄨㄥˋ
推,ㄊㄨㄟ
提,ㄊㄧˊ
插,ㄔㄚ
揚,ㄧㄤˊ
換,ㄏㄨㄢˋ
揮,ㄏㄨㄟ
損,ㄕㄨㄣˇ
搬,ㄅㄢ
搭,ㄉㄚ
撞,ㄓㄨㄤˋ
播,ㄅㄛ
撿,ㄐㄧㄢˇ
擇,ㄗㄜˊ
操,ㄘㄠ
擔,ㄉㄢ
據,ㄐㄩˋ
擦,ㄔㄚ
支,ㄓ
收,ㄕㄡ
改,ㄍㄞˇ
攻,ㄍㄨㄥ
放,ㄈㄤˋ
政,ㄓㄥˋ
故,ㄍㄨˋ
效,ㄒㄧㄠˋ
敏,ㄇㄧㄣˇ
教,ㄐㄧㄠ
敞,ㄔㄤˇ
敢,ㄍㄢˇ
散,ㄙㄢˋ
敬,ㄐㄧㄥˋ
整,ㄓㄥˇ
數,ㄕㄨˋ
文,ㄨㄣˊ
料,ㄌㄧㄠˋ
新,ㄒㄧㄣ
斷,ㄉㄨㄢˋ
方,ㄈㄤ
於,ㄩˊ
施,ㄕ
旁,ㄆㄤˊ
旅,ㄌㄩˇ
族,ㄗㄨˊ
既,ㄐㄧˋ
日,ㄖˋ
早,ㄗㄠˇ
明,ㄇㄧㄥˊ
易,ㄧˋ
星,ㄒㄧㄥ
春,ㄔㄨㄣ
昨,ㄗㄨㄛˊ
是,ㄕˋ
時,ㄕˊ
晚,ㄨㄢˇ
普,ㄆㄨˇ
晴,ㄑㄧㄥˊ
暑,ㄕㄨˇ
暖,ㄋㄨㄢˇ
暗,ㄢˋ
暫,ㄓㄢˋ
暴,ㄅㄠˋ
曲,ㄑㄩˇ
更,ㄍㄥˋ
書,ㄕㄨ
曾,ㄘㄥˊ
替,ㄊㄧˋ
最,ㄗㄨㄟˋ
會,ㄏㄨㄟˋ
月,ㄩㄝˋ
有,ㄧㄡˇ
朋,ㄆㄥˊ
服,ㄈㄨˊ
朗,ㄌㄤˇ
望,ㄨㄤˋ
朝,ㄔㄠˊ
期,ㄑㄧˊ
木,ㄇㄨˋ
末,ㄇㄛˋ
本,ㄅㄣˇ
朵,ㄉㄨㄛˇ
李,ㄌㄧˇ
材,ㄘㄞˊ
村,ㄘㄨㄣ
束,ㄕㄨˋ
杯,ㄅㄟ
東,ㄉㄨㄥ
松,ㄙㄨㄥ
板,ㄅㄢˇ
析,ㄒㄧ
林,ㄌㄧㄣˊ
果,ㄍㄨㄛˇ
架,ㄐㄧㄚˋ
染,ㄖㄢˇ
查,ㄔㄚˊ
柿,ㄕˋ
校,ㄒㄧㄠˋ
根,ㄍㄣ
格,ㄍㄜˊ
桃,ㄊㄠˊ
桌,ㄓㄨㄛ
梅,ㄇㄟˊ
條,ㄊㄧㄠˊ
梨,ㄌㄧˊ
棒,ㄅㄤˋ
椅,ㄧˇ
椒,ㄐㄧㄠ
楚,ㄔㄨˇ
業,ㄧㄝˋ
極,ㄐㄧˊ
概,ㄍㄞˋ
榮,ㄖㄨㄥˊ
樂,ㄌㄜˋ
樓,ㄌㄡˊ
標,ㄅㄧㄠ
模,ㄇㄛˊ
樣,ㄧㄤˋ
樹,ㄕㄨˋ
橋,ㄑㄧㄠˊ
機,ㄐㄧ
橫,ㄏㄥˊ
檢,ㄐㄧㄢˇ
櫃,ㄍㄨㄟˋ
權,ㄑㄩㄢˊ
次,ㄘˋ
欲,ㄩˋ
款,ㄎㄨㄢˇ
歌,ㄍㄜ
歐,ㄡ
歡,ㄏㄨㄢ
止,ㄓˇ
正,ㄓㄥˋ
此,ㄘˇ
步,ㄅㄨˋ
武,ㄨˇ
歲,ㄙㄨㄟˋ
歷,ㄌㄧˋ
歸,ㄍㄨㄟ
死,ㄙˇ
段,ㄉㄨㄢˋ
殺,ㄕㄚ
母,ㄇㄨˇ
每,ㄇㄟˇ
